#: table_doi: 10.17182/hepdata.52667.v1/t38
#: name: Table 38
#: description: Differential cross section for the W range 2.10 to 2.11 GeV.

#: data_file: Table38.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.1-2.11
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.105 (BIN=2.10 TO 2.11)
#: SQRT(S) [GeV],,,2.1-2.11
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.209,0.044,-0.044
-0.75,-0.8,-0.7,1.333,0.033,-0.033
-0.6499999999999999,-0.7,-0.6,1.321,0.031,-0.031
-0.55,-0.6,-0.5,1.349,0.031,-0.031
-0.45,-0.5,-0.4,1.35,0.029,-0.029
-0.35,-0.4,-0.3,1.456,0.028,-0.028
-0.25,-0.3,-0.2,1.703,0.032,-0.032
-0.15000000000000002,-0.2,-0.1,1.699,0.032,-0.032
-0.05,-0.1,0.0,1.834,0.035,-0.035
0.05,0.0,0.1,1.757,0.037,-0.037
0.15000000000000002,0.1,0.2,1.464,0.034,-0.034
0.25,0.2,0.3,1.292,0.035,-0.035
0.35,0.3,0.4,1.361,0.038,-0.038
0.45,0.4,0.5,1.81,0.045,-0.045
0.55,0.5,0.6,2.498,0.049,-0.049
0.6499999999999999,0.6,0.7,4.33,0.066,-0.066
0.75,0.7,0.8,7.059,0.076,-0.076
0.8500000000000001,0.8,0.9,14.91,0.369,-0.369

