#: table_doi: 10.17182/hepdata.52667.v1/t26
#: name: Table 26
#: description: Differential cross section for the W range 1.98 to 1.99 GeV.

#: data_file: Table26.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.98-1.99
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.985 (BIN=1.98 TO 1.99)
#: SQRT(S) [GeV],,,1.98-1.99
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.539,0.084,-0.084
-0.75,-0.8,-0.7,1.647,0.046,-0.046
-0.6499999999999999,-0.7,-0.6,1.64,0.043,-0.043
-0.55,-0.6,-0.5,1.734,0.041,-0.041
-0.45,-0.5,-0.4,1.929,0.042,-0.042
-0.35,-0.4,-0.3,2.019,0.042,-0.042
-0.25,-0.3,-0.2,2.183,0.045,-0.045
-0.15000000000000002,-0.2,-0.1,2.195,0.046,-0.046
-0.05,-0.1,0.0,2.2,0.05,-0.05
0.05,0.0,0.1,2.067,0.052,-0.052
0.15000000000000002,0.1,0.2,1.928,0.052,-0.052
0.25,0.2,0.3,1.78,0.054,-0.054
0.35,0.3,0.4,1.817,0.057,-0.057
0.45,0.4,0.5,2.014,0.065,-0.065
0.55,0.5,0.6,2.556,0.071,-0.071
0.6499999999999999,0.6,0.7,3.676,0.084,-0.084
0.75,0.7,0.8,5.898,0.119,-0.119
0.8400000000000001,0.8,0.88,9.566,0.333,-0.333

