#: table_doi: 10.17182/hepdata.52667.v1/t103
#: name: Table 103
#: description: Differential cross section for the W range 2.77 to 2.78 GeV.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.77-2.78
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.775 (BIN=2.77 TO 2.78)
#: SQRT(S) [GeV],,,2.77-2.78
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8200000000000001,-0.84,-0.8,0.1869,0.0143,-0.0143
-0.75,-0.8,-0.7,0.1659,0.0074,-0.0074
-0.6499999999999999,-0.7,-0.6,0.1552,0.0066,-0.0066
-0.55,-0.6,-0.5,0.1175,0.0052,-0.0052
-0.45,-0.5,-0.4,0.08825,0.00445,-0.00445
-0.35,-0.4,-0.3,0.0598,0.00365,-0.00365
-0.25,-0.3,-0.2,0.04765,0.00291,-0.00291
-0.15000000000000002,-0.2,-0.1,0.04969,0.00298,-0.00298
-0.05,-0.1,0.0,0.06011,0.00333,-0.00333
0.05,0.0,0.1,0.06128,0.00333,-0.00333
0.15000000000000002,0.1,0.2,0.07976,0.0041,-0.0041
0.25,0.2,0.3,0.1129,0.0049,-0.0049
0.35,0.3,0.4,0.1545,0.0062,-0.0062
0.45,0.4,0.5,0.2088,0.0082,-0.0082
0.55,0.5,0.6,0.2541,0.01,-0.01
0.6499999999999999,0.6,0.7,0.435,0.0148,-0.0148
0.75,0.7,0.8,1.02,0.027,-0.027
0.8500000000000001,0.8,0.9,3.559,0.103,-0.103
0.9199999999999999,0.9,0.94,9.798,0.699,-0.699

