#: table_doi: 10.17182/hepdata.52667.v1/t49
#: name: Table 49
#: description: Differential cross section for the W range 2.21 to 2.22 GeV.

#: data_file: Table49.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.21-2.22
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.215 (BIN=2.21 TO 2.22)
#: SQRT(S) [GeV],,,2.21-2.22
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.206,0.039,-0.039
-0.75,-0.8,-0.7,1.278,0.026,-0.026
-0.6499999999999999,-0.7,-0.6,1.183,0.024,-0.024
-0.55,-0.6,-0.5,0.9633,0.0213,-0.0213
-0.45,-0.5,-0.4,0.95,0.0204,-0.0204
-0.35,-0.4,-0.3,0.9544,0.0193,-0.0193
-0.25,-0.3,-0.2,1.108,0.021,-0.021
-0.15000000000000002,-0.2,-0.1,1.315,0.024,-0.024
-0.05,-0.1,0.0,1.328,0.024,-0.024
0.05,0.0,0.1,1.279,0.024,-0.024
0.15000000000000002,0.1,0.2,1.146,0.023,-0.023
0.25,0.2,0.3,0.9977,0.022,-0.022
0.35,0.3,0.4,1.051,0.024,-0.024
0.45,0.4,0.5,1.323,0.027,-0.027
0.55,0.5,0.6,1.955,0.033,-0.033
0.6499999999999999,0.6,0.7,3.214,0.042,-0.042
0.75,0.7,0.8,5.361,0.051,-0.051
0.8500000000000001,0.8,0.9,10.9,0.097,-0.097
0.91,0.9,0.92,14.12,2.233,-2.233

