#: table_doi: 10.17182/hepdata.52667.v1/t53
#: name: Table 53
#: description: Differential cross section for the W range 2.25 to 2.26 GeV.

#: data_file: Table53.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.25-2.26
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.255 (BIN=2.25 TO 2.26)
#: SQRT(S) [GeV],,,2.25-2.26
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.11,0.034,-0.034
-0.75,-0.8,-0.7,1.248,0.024,-0.024
-0.6499999999999999,-0.7,-0.6,0.9651,0.0194,-0.0194
-0.55,-0.6,-0.5,0.891,0.0198,-0.0198
-0.45,-0.5,-0.4,0.7751,0.0178,-0.0178
-0.35,-0.4,-0.3,0.8265,0.0177,-0.0177
-0.25,-0.3,-0.2,0.9894,0.0197,-0.0197
-0.15000000000000002,-0.2,-0.1,1.101,0.02,-0.02
-0.05,-0.1,0.0,1.143,0.02,-0.02
0.05,0.0,0.1,1.209,0.023,-0.023
0.15000000000000002,0.1,0.2,1.044,0.021,-0.021
0.25,0.2,0.3,0.9813,0.0212,-0.0212
0.35,0.3,0.4,1.013,0.022,-0.022
0.45,0.4,0.5,1.276,0.024,-0.024
0.55,0.5,0.6,1.902,0.032,-0.032
0.6499999999999999,0.6,0.7,3.031,0.039,-0.039
0.75,0.7,0.8,5.127,0.05,-0.05
0.8500000000000001,0.8,0.9,11.14,0.105,-0.105
0.91,0.9,0.92,20.61,1.445,-1.445

