#: table_doi: 10.17182/hepdata.52667.v1/t95
#: name: Table 95
#: description: Differential cross section for the W range 2.67 to 2.68 GeV.

#: data_file: Table95.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.67-2.68
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.675 (BIN=2.67 TO 2.68)
#: SQRT(S) [GeV],,,2.67-2.68
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.278,0.0229,-0.0229
-0.75,-0.8,-0.7,0.2343,0.0091,-0.0091
-0.6499999999999999,-0.7,-0.6,0.2337,0.0084,-0.0084
-0.55,-0.6,-0.5,0.1658,0.0064,-0.0064
-0.45,-0.5,-0.4,0.133,0.0059,-0.0059
-0.35,-0.4,-0.3,0.1004,0.005,-0.005
-0.25,-0.3,-0.2,0.0777,0.0041,-0.0041
-0.15000000000000002,-0.2,-0.1,0.08085,0.00409,-0.00409
-0.05,-0.1,0.0,0.1042,0.0049,-0.0049
0.05,0.0,0.1,0.1051,0.0048,-0.0048
0.15000000000000002,0.1,0.2,0.1358,0.0058,-0.0058
0.25,0.2,0.3,0.174,0.0068,-0.0068
0.35,0.3,0.4,0.2213,0.0078,-0.0078
0.45,0.4,0.5,0.2727,0.0096,-0.0096
0.55,0.5,0.6,0.3765,0.0128,-0.0128
0.6499999999999999,0.6,0.7,0.6231,0.0174,-0.0174
0.75,0.7,0.8,1.492,0.033,-0.033
0.8500000000000001,0.8,0.9,4.231,0.092,-0.092
0.9199999999999999,0.9,0.94,11.93,0.544,-0.544

