#: table_doi: 10.17182/hepdata.52667.v1/t31
#: name: Table 31
#: description: Differential cross section for the W range 2.03 to 2.04 GeV.

#: data_file: Table31.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.03-2.04
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.035 (BIN=2.03 TO 2.04)
#: SQRT(S) [GeV],,,2.03-2.04
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.334,0.058,-0.058
-0.75,-0.8,-0.7,1.442,0.039,-0.039
-0.6499999999999999,-0.7,-0.6,1.546,0.039,-0.039
-0.55,-0.6,-0.5,1.605,0.039,-0.039
-0.45,-0.5,-0.4,1.756,0.037,-0.037
-0.35,-0.4,-0.3,1.835,0.037,-0.037
-0.25,-0.3,-0.2,1.893,0.038,-0.038
-0.15000000000000002,-0.2,-0.1,1.966,0.039,-0.039
-0.05,-0.1,0.0,1.948,0.042,-0.042
0.05,0.0,0.1,1.871,0.044,-0.044
0.15000000000000002,0.1,0.2,1.701,0.045,-0.045
0.25,0.2,0.3,1.526,0.045,-0.045
0.35,0.3,0.4,1.598,0.049,-0.049
0.45,0.4,0.5,1.969,0.057,-0.057
0.55,0.5,0.6,2.719,0.064,-0.064
0.6499999999999999,0.6,0.7,4.096,0.079,-0.079
0.75,0.7,0.8,6.769,0.107,-0.107
0.8500000000000001,0.8,0.9,10.58,0.6,-0.6

