#: table_doi: 10.17182/hepdata.52667.v1/t98
#: name: Table 98
#: description: Differential cross section for the W range 2.70 to 2.71 GeV.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.7-2.71
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.705 (BIN=2.70 TO 2.71)
#: SQRT(S) [GeV],,,2.7-2.71
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3201,0.0367,-0.0367
-0.75,-0.8,-0.7,0.2396,0.0093,-0.0093
-0.6499999999999999,-0.7,-0.6,0.2118,0.0079,-0.0079
-0.55,-0.6,-0.5,0.1677,0.0067,-0.0067
-0.45,-0.5,-0.4,0.119,0.0055,-0.0055
-0.35,-0.4,-0.3,0.09883,0.00507,-0.00507
-0.25,-0.3,-0.2,0.06896,0.00381,-0.00381
-0.15000000000000002,-0.2,-0.1,0.08707,0.00433,-0.00433
-0.05,-0.1,0.0,0.08945,0.00429,-0.00429
0.05,0.0,0.1,0.1038,0.0048,-0.0048
0.15000000000000002,0.1,0.2,0.1192,0.0054,-0.0054
0.25,0.2,0.3,0.1486,0.006,-0.006
0.35,0.3,0.4,0.2081,0.0076,-0.0076
0.45,0.4,0.5,0.2725,0.0099,-0.0099
0.55,0.5,0.6,0.3331,0.0118,-0.0118
0.6499999999999999,0.6,0.7,0.5889,0.0178,-0.0178
0.75,0.7,0.8,1.313,0.032,-0.032
0.8500000000000001,0.8,0.9,4.605,0.116,-0.116
0.9299999999999999,0.9,0.96,15.76,3.742,-3.742

