#: table_doi: 10.17182/hepdata.52667.v1/t27
#: name: Table 27
#: description: Differential cross section for the W range 1.99 to 2.00 GeV.

#: data_file: Table27.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.99-2.0
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.995 (BIN=1.99 TO 2.00)
#: SQRT(S) [GeV],,,1.99-2.0
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.564,0.08,-0.08
-0.75,-0.8,-0.7,1.517,0.044,-0.044
-0.6499999999999999,-0.7,-0.6,1.61,0.041,-0.041
-0.55,-0.6,-0.5,1.764,0.042,-0.042
-0.45,-0.5,-0.4,1.78,0.038,-0.038
-0.35,-0.4,-0.3,1.993,0.041,-0.041
-0.25,-0.3,-0.2,2.098,0.043,-0.043
-0.15000000000000002,-0.2,-0.1,2.217,0.047,-0.047
-0.05,-0.1,0.0,2.006,0.045,-0.045
0.05,0.0,0.1,2.028,0.049,-0.049
0.15000000000000002,0.1,0.2,1.873,0.05,-0.05
0.25,0.2,0.3,1.724,0.052,-0.052
0.35,0.3,0.4,1.742,0.057,-0.057
0.45,0.4,0.5,1.903,0.061,-0.061
0.55,0.5,0.6,2.555,0.07,-0.07
0.6499999999999999,0.6,0.7,3.772,0.084,-0.084
0.75,0.7,0.8,5.887,0.117,-0.117
0.8400000000000001,0.8,0.88,8.769,0.239,-0.239

