#: table_doi: 10.17182/hepdata.52667.v1/t56
#: name: Table 56
#: description: Differential cross section for the W range 2.28 to 2.29 GeV.

#: data_file: Table56.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.28-2.29
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.285 (BIN=2.28 TO 2.29)
#: SQRT(S) [GeV],,,2.28-2.29
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.9732,0.0325,-0.0325
-0.75,-0.8,-0.7,1.07,0.021,-0.021
-0.6499999999999999,-0.7,-0.6,0.9518,0.019,-0.019
-0.55,-0.6,-0.5,0.7198,0.0164,-0.0164
-0.45,-0.5,-0.4,0.6188,0.0148,-0.0148
-0.35,-0.4,-0.3,0.6716,0.015,-0.015
-0.25,-0.3,-0.2,0.7899,0.0163,-0.0163
-0.15000000000000002,-0.2,-0.1,0.9288,0.0175,-0.0175
-0.05,-0.1,0.0,0.9992,0.0183,-0.0183
0.05,0.0,0.1,0.9699,0.0188,-0.0188
0.15000000000000002,0.1,0.2,0.8806,0.0177,-0.0177
0.25,0.2,0.3,0.8293,0.018,-0.018
0.35,0.3,0.4,0.9321,0.0203,-0.0203
0.45,0.4,0.5,1.157,0.022,-0.022
0.55,0.5,0.6,1.622,0.027,-0.027
0.6499999999999999,0.6,0.7,2.557,0.033,-0.033
0.75,0.7,0.8,4.441,0.045,-0.045
0.8500000000000001,0.8,0.9,10.01,0.098,-0.098
0.91,0.9,0.92,17.6,0.766,-0.766

