#: table_doi: 10.17182/hepdata.52667.v1/t100
#: name: Table 100
#: description: Differential cross section for the W range 2.72 to 2.73 GeV.

#: data_file: Table100.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.72-2.73
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.725 (BIN=2.72 TO 2.73)
#: SQRT(S) [GeV],,,2.72-2.73
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.1916,0.0256,-0.0256
-0.75,-0.8,-0.7,0.2305,0.0091,-0.0091
-0.6499999999999999,-0.7,-0.6,0.1814,0.0071,-0.0071
-0.55,-0.6,-0.5,0.1649,0.0066,-0.0066
-0.45,-0.5,-0.4,0.1123,0.0051,-0.0051
-0.35,-0.4,-0.3,0.08243,0.00457,-0.00457
-0.25,-0.3,-0.2,0.07027,0.00388,-0.00388
-0.15000000000000002,-0.2,-0.1,0.06601,0.0037,-0.0037
-0.05,-0.1,0.0,0.07016,0.00371,-0.00371
0.05,0.0,0.1,0.08737,0.00427,-0.00427
0.15000000000000002,0.1,0.2,0.09597,0.00466,-0.00466
0.25,0.2,0.3,0.135,0.0057,-0.0057
0.35,0.3,0.4,0.1885,0.0073,-0.0073
0.45,0.4,0.5,0.2367,0.009,-0.009
0.55,0.5,0.6,0.3083,0.0116,-0.0116
0.6499999999999999,0.6,0.7,0.5676,0.0174,-0.0174
0.75,0.7,0.8,1.23,0.03,-0.03
0.8500000000000001,0.8,0.9,3.861,0.095,-0.095
0.9299999999999999,0.9,0.96,31.12,7.014,-7.014

