#: table_doi: 10.17182/hepdata.52667.v1/t57
#: name: Table 57
#: description: Differential cross section for the W range 2.29 to 2.30 GeV.

#: data_file: Table57.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.29-2.3
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.295 (BIN=2.29 TO 2.30)
#: SQRT(S) [GeV],,,2.29-2.3
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.9666,0.0308,-0.0308
-0.75,-0.8,-0.7,1.076,0.02,-0.02
-0.6499999999999999,-0.7,-0.6,0.9172,0.0176,-0.0176
-0.55,-0.6,-0.5,0.7211,0.0159,-0.0159
-0.45,-0.5,-0.4,0.6164,0.0151,-0.0151
-0.35,-0.4,-0.3,0.61,0.014,-0.014
-0.25,-0.3,-0.2,0.7372,0.0156,-0.0156
-0.15000000000000002,-0.2,-0.1,0.8472,0.0166,-0.0166
-0.05,-0.1,0.0,0.9561,0.0179,-0.0179
0.05,0.0,0.1,0.9529,0.0184,-0.0184
0.15000000000000002,0.1,0.2,0.856,0.0173,-0.0173
0.25,0.2,0.3,0.8218,0.0177,-0.0177
0.35,0.3,0.4,0.8747,0.0192,-0.0192
0.45,0.4,0.5,1.175,0.023,-0.023
0.55,0.5,0.6,1.664,0.028,-0.028
0.6499999999999999,0.6,0.7,2.44,0.033,-0.033
0.75,0.7,0.8,4.513,0.047,-0.047
0.8500000000000001,0.8,0.9,9.595,0.098,-0.098
0.91,0.9,0.92,14.29,0.572,-0.572

