#: table_doi: 10.17182/hepdata.52667.v1/t88
#: name: Table 88
#: description: Differential cross section for the W range 2.60 to 2.61 GeV.

#: data_file: Table88.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.6-2.61
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.605 (BIN=2.60 TO 2.61)
#: SQRT(S) [GeV],,,2.6-2.61
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.3275,0.0163,-0.0163
-0.75,-0.8,-0.7,0.3081,0.0088,-0.0088
-0.6499999999999999,-0.7,-0.6,0.2976,0.0079,-0.0079
-0.55,-0.6,-0.5,0.2578,0.007,-0.007
-0.45,-0.5,-0.4,0.1831,0.006,-0.006
-0.35,-0.4,-0.3,0.1417,0.0052,-0.0052
-0.25,-0.3,-0.2,0.1259,0.0048,-0.0048
-0.15000000000000002,-0.2,-0.1,0.1381,0.0048,-0.0048
-0.05,-0.1,0.0,0.1586,0.0055,-0.0055
0.05,0.0,0.1,0.1852,0.0059,-0.0059
0.15000000000000002,0.1,0.2,0.2022,0.0063,-0.0063
0.25,0.2,0.3,0.2181,0.0065,-0.0065
0.35,0.3,0.4,0.3077,0.0081,-0.0081
0.45,0.4,0.5,0.4052,0.0105,-0.0105
0.55,0.5,0.6,0.4857,0.0119,-0.0119
0.6499999999999999,0.6,0.7,0.8136,0.0167,-0.0167
0.75,0.7,0.8,1.717,0.028,-0.028
0.8500000000000001,0.8,0.9,5.588,0.09,-0.09
0.9199999999999999,0.9,0.94,17.84,0.565,-0.565

