#: table_doi: 10.17182/hepdata.52667.v1/t62
#: name: Table 62
#: description: Differential cross section for the W range 2.34 to 2.35 GeV.

#: data_file: Table62.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.34-2.35
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.345 (BIN=2.34 TO 2.35)
#: SQRT(S) [GeV],,,2.34-2.35
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.7568,0.0294,-0.0294
-0.75,-0.8,-0.7,0.7801,0.0173,-0.0173
-0.6499999999999999,-0.7,-0.6,0.7024,0.0157,-0.0157
-0.55,-0.6,-0.5,0.4816,0.0123,-0.0123
-0.45,-0.5,-0.4,0.4415,0.0121,-0.0121
-0.35,-0.4,-0.3,0.4117,0.011,-0.011
-0.25,-0.3,-0.2,0.4982,0.0121,-0.0121
-0.15000000000000002,-0.2,-0.1,0.6043,0.0138,-0.0138
-0.05,-0.1,0.0,0.6663,0.0146,-0.0146
0.05,0.0,0.1,0.6753,0.0153,-0.0153
0.15000000000000002,0.1,0.2,0.6354,0.0149,-0.0149
0.25,0.2,0.3,0.5877,0.0142,-0.0142
0.35,0.3,0.4,0.6924,0.0168,-0.0168
0.45,0.4,0.5,0.9405,0.0196,-0.0196
0.55,0.5,0.6,1.24,0.023,-0.023
0.6499999999999999,0.6,0.7,2.003,0.028,-0.028
0.75,0.7,0.8,3.541,0.041,-0.041
0.8500000000000001,0.8,0.9,8.78,0.093,-0.093
0.91,0.9,0.92,13.64,0.456,-0.456

