#: table_doi: 10.17182/hepdata.52667.v1/t84
#: name: Table 84
#: description: Differential cross section for the W range 2.56 to 2.57 GeV.

#: data_file: Table84.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.56-2.57
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.565 (BIN=2.56 TO 2.57)
#: SQRT(S) [GeV],,,2.56-2.57
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.349,0.0186,-0.0186
-0.75,-0.8,-0.7,0.3623,0.0113,-0.0113
-0.6499999999999999,-0.7,-0.6,0.3527,0.0103,-0.0103
-0.55,-0.6,-0.5,0.2914,0.0088,-0.0088
-0.45,-0.5,-0.4,0.1985,0.0074,-0.0074
-0.35,-0.4,-0.3,0.1464,0.006,-0.006
-0.25,-0.3,-0.2,0.1484,0.0059,-0.0059
-0.15000000000000002,-0.2,-0.1,0.1714,0.0066,-0.0066
-0.05,-0.1,0.0,0.1849,0.0068,-0.0068
0.05,0.0,0.1,0.2067,0.0073,-0.0073
0.15000000000000002,0.1,0.2,0.2363,0.0078,-0.0078
0.25,0.2,0.3,0.2776,0.0087,-0.0087
0.35,0.3,0.4,0.3647,0.0105,-0.0105
0.45,0.4,0.5,0.489,0.0131,-0.0131
0.55,0.5,0.6,0.5923,0.0157,-0.0157
0.6499999999999999,0.6,0.7,0.9558,0.021,-0.021
0.75,0.7,0.8,1.913,0.033,-0.033
0.8500000000000001,0.8,0.9,6.26,0.106,-0.106
0.9199999999999999,0.9,0.94,14.63,0.543,-0.543

