#: table_doi: 10.17182/hepdata.52667.v1/t52
#: name: Table 52
#: description: Differential cross section for the W range 2.24 to 2.25 GeV.

#: data_file: Table52.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.24-2.25
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.245 (BIN=2.24 TO 2.25)
#: SQRT(S) [GeV],,,2.24-2.25
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.9728,0.032,-0.032
-0.75,-0.8,-0.7,1.12,0.023,-0.023
-0.6499999999999999,-0.7,-0.6,0.9656,0.0198,-0.0198
-0.55,-0.6,-0.5,0.8095,0.0185,-0.0185
-0.45,-0.5,-0.4,0.7224,0.0167,-0.0167
-0.35,-0.4,-0.3,0.7536,0.0162,-0.0162
-0.25,-0.3,-0.2,0.9068,0.0181,-0.0181
-0.15000000000000002,-0.2,-0.1,1.032,0.019,-0.019
-0.05,-0.1,0.0,1.147,0.021,-0.021
0.05,0.0,0.1,1.129,0.021,-0.021
0.15000000000000002,0.1,0.2,1.07,0.021,-0.021
0.25,0.2,0.3,0.8895,0.0188,-0.0188
0.35,0.3,0.4,0.9431,0.0203,-0.0203
0.45,0.4,0.5,1.23,0.024,-0.024
0.55,0.5,0.6,1.851,0.031,-0.031
0.6499999999999999,0.6,0.7,2.893,0.038,-0.038
0.75,0.7,0.8,4.76,0.048,-0.048
0.8500000000000001,0.8,0.9,9.403,0.091,-0.091
0.91,0.9,0.92,19.47,1.623,-1.623

