#: table_doi: 10.17182/hepdata.52667.v1/t109
#: name: Table 109
#: description: Differential cross section for the W range 2.83 to 2.84 GeV.

#: data_file: Table109.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.83-2.84
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.835 (BIN=2.83 TO 2.84)
#: SQRT(S) [GeV],,,2.83-2.84
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8200000000000001,-0.84,-0.8,0.174,0.018,-0.018
-0.75,-0.8,-0.7,0.157,0.0076,-0.0076
-0.6499999999999999,-0.7,-0.6,0.1198,0.0057,-0.0057
-0.55,-0.6,-0.5,0.09595,0.00487,-0.00487
-0.45,-0.5,-0.4,0.06648,0.00383,-0.00383
-0.35,-0.4,-0.3,0.04089,0.00297,-0.00297
-0.25,-0.3,-0.2,0.03283,0.00242,-0.00242
-0.15000000000000002,-0.2,-0.1,0.03751,0.00254,-0.00254
-0.05,-0.1,0.0,0.03688,0.00245,-0.00245
0.05,0.0,0.1,0.05218,0.00302,-0.00302
0.15000000000000002,0.1,0.2,0.06124,0.00368,-0.00368
0.25,0.2,0.3,0.08363,0.00434,-0.00434
0.35,0.3,0.4,0.108,0.0051,-0.0051
0.45,0.4,0.5,0.1597,0.0075,-0.0075
0.55,0.5,0.6,0.2003,0.0091,-0.0091
0.6499999999999999,0.6,0.7,0.3269,0.0131,-0.0131
0.75,0.7,0.8,0.8625,0.027,-0.027
0.8500000000000001,0.8,0.9,3.474,0.125,-0.125
0.9199999999999999,0.9,0.94,11.96,1.066,-1.066

