#: table_doi: 10.17182/hepdata.52667.v1/t51
#: name: Table 51
#: description: Differential cross section for the W range 2.23 to 2.24 GeV.

#: data_file: Table51.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.23-2.24
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.235 (BIN=2.23 TO 2.24)
#: SQRT(S) [GeV],,,2.23-2.24
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.086,0.034,-0.034
-0.75,-0.8,-0.7,1.185,0.024,-0.024
-0.6499999999999999,-0.7,-0.6,1.031,0.021,-0.021
-0.55,-0.6,-0.5,0.876,0.0193,-0.0193
-0.45,-0.5,-0.4,0.8113,0.0179,-0.0179
-0.35,-0.4,-0.3,0.8671,0.0178,-0.0178
-0.25,-0.3,-0.2,0.971,0.0186,-0.0186
-0.15000000000000002,-0.2,-0.1,1.103,0.02,-0.02
-0.05,-0.1,0.0,1.191,0.021,-0.021
0.05,0.0,0.1,1.165,0.022,-0.022
0.15000000000000002,0.1,0.2,1.038,0.021,-0.021
0.25,0.2,0.3,0.9289,0.0206,-0.0206
0.35,0.3,0.4,0.9715,0.022,-0.022
0.45,0.4,0.5,1.263,0.025,-0.025
0.55,0.5,0.6,1.828,0.031,-0.031
0.6499999999999999,0.6,0.7,3.118,0.041,-0.041
0.75,0.7,0.8,4.836,0.049,-0.049
0.8500000000000001,0.8,0.9,10.43,0.101,-0.101
0.91,0.9,0.92,13.99,1.553,-1.553

