#: table_doi: 10.17182/hepdata.52667.v1/t36
#: name: Table 36
#: description: Differential cross section for the W range 2.08 to 2.09 GeV.

#: data_file: Table36.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.08-2.09
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.085 (BIN=2.08 TO 2.09)
#: SQRT(S) [GeV],,,2.08-2.09
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.46,0.054,-0.054
-0.75,-0.8,-0.7,1.372,0.035,-0.035
-0.6499999999999999,-0.7,-0.6,1.499,0.035,-0.035
-0.55,-0.6,-0.5,1.52,0.034,-0.034
-0.45,-0.5,-0.4,1.547,0.032,-0.032
-0.35,-0.4,-0.3,1.699,0.033,-0.033
-0.25,-0.3,-0.2,1.74,0.033,-0.033
-0.15000000000000002,-0.2,-0.1,1.932,0.037,-0.037
-0.05,-0.1,0.0,1.901,0.037,-0.037
0.05,0.0,0.1,1.834,0.04,-0.04
0.15000000000000002,0.1,0.2,1.613,0.039,-0.039
0.25,0.2,0.3,1.465,0.04,-0.04
0.35,0.3,0.4,1.495,0.042,-0.042
0.45,0.4,0.5,1.87,0.048,-0.048
0.55,0.5,0.6,2.7,0.058,-0.058
0.6499999999999999,0.6,0.7,4.612,0.075,-0.075
0.75,0.7,0.8,7.473,0.089,-0.089
0.8500000000000001,0.8,0.9,13.07,0.425,-0.425

