#: table_doi: 10.17182/hepdata.52667.v1/t63
#: name: Table 63
#: description: Differential cross section for the W range 2.35 to 2.36 GeV.

#: data_file: Table63.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.35-2.36
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.355 (BIN=2.35 TO 2.36)
#: SQRT(S) [GeV],,,2.35-2.36
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.8263,0.0346,-0.0346
-0.75,-0.8,-0.7,0.8373,0.0172,-0.0172
-0.6499999999999999,-0.7,-0.6,0.7249,0.0154,-0.0154
-0.55,-0.6,-0.5,0.5615,0.0136,-0.0136
-0.45,-0.5,-0.4,0.444,0.012,-0.012
-0.35,-0.4,-0.3,0.4789,0.0127,-0.0127
-0.25,-0.3,-0.2,0.5345,0.0135,-0.0135
-0.15000000000000002,-0.2,-0.1,0.616,0.0146,-0.0146
-0.05,-0.1,0.0,0.6669,0.0148,-0.0148
0.05,0.0,0.1,0.6915,0.0159,-0.0159
0.15000000000000002,0.1,0.2,0.625,0.0148,-0.0148
0.25,0.2,0.3,0.6086,0.0146,-0.0146
0.35,0.3,0.4,0.6959,0.0163,-0.0163
0.45,0.4,0.5,0.9876,0.0197,-0.0197
0.55,0.5,0.6,1.361,0.024,-0.024
0.6499999999999999,0.6,0.7,2.198,0.03,-0.03
0.75,0.7,0.8,3.929,0.042,-0.042
0.8500000000000001,0.8,0.9,8.863,0.089,-0.089
0.91,0.9,0.92,13.67,0.417,-0.417

