#: table_doi: 10.17182/hepdata.52667.v1/t60
#: name: Table 60
#: description: Differential cross section for the W range 2.32 to 2.33 GeV.

#: data_file: Table60.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.32-2.33
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.325 (BIN=2.32 TO 2.33)
#: SQRT(S) [GeV],,,2.32-2.33
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.8182,0.0288,-0.0288
-0.75,-0.8,-0.7,0.9551,0.0191,-0.0191
-0.6499999999999999,-0.7,-0.6,0.7787,0.016,-0.016
-0.55,-0.6,-0.5,0.5891,0.0139,-0.0139
-0.45,-0.5,-0.4,0.5081,0.0133,-0.0133
-0.35,-0.4,-0.3,0.5096,0.0129,-0.0129
-0.25,-0.3,-0.2,0.5798,0.014,-0.014
-0.15000000000000002,-0.2,-0.1,0.7125,0.0156,-0.0156
-0.05,-0.1,0.0,0.7613,0.0155,-0.0155
0.05,0.0,0.1,0.7926,0.0166,-0.0166
0.15000000000000002,0.1,0.2,0.7483,0.0161,-0.0161
0.25,0.2,0.3,0.7035,0.0159,-0.0159
0.35,0.3,0.4,0.8114,0.0182,-0.0182
0.45,0.4,0.5,0.9971,0.0201,-0.0201
0.55,0.5,0.6,1.438,0.025,-0.025
0.6499999999999999,0.6,0.7,2.165,0.03,-0.03
0.75,0.7,0.8,3.91,0.042,-0.042
0.8500000000000001,0.8,0.9,9.019,0.094,-0.094
0.91,0.9,0.92,19.62,0.679,-0.679

