#: table_doi: 10.17182/hepdata.52667.v1/t83
#: name: Table 83
#: description: Differential cross section for the W range 2.55 to 2.56 GeV.

#: data_file: Table83.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.55-2.56
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.555 (BIN=2.55 TO 2.56)
#: SQRT(S) [GeV],,,2.55-2.56
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.4036,0.0221,-0.0221
-0.75,-0.8,-0.7,0.3984,0.0121,-0.0121
-0.6499999999999999,-0.7,-0.6,0.3731,0.0105,-0.0105
-0.55,-0.6,-0.5,0.3012,0.0092,-0.0092
-0.45,-0.5,-0.4,0.2361,0.0081,-0.0081
-0.35,-0.4,-0.3,0.1694,0.0065,-0.0065
-0.25,-0.3,-0.2,0.1565,0.0061,-0.0061
-0.15000000000000002,-0.2,-0.1,0.191,0.007,-0.007
-0.05,-0.1,0.0,0.2116,0.0077,-0.0077
0.05,0.0,0.1,0.2141,0.0077,-0.0077
0.15000000000000002,0.1,0.2,0.2428,0.0083,-0.0083
0.25,0.2,0.3,0.2904,0.0091,-0.0091
0.35,0.3,0.4,0.3709,0.0109,-0.0109
0.45,0.4,0.5,0.5084,0.0138,-0.0138
0.55,0.5,0.6,0.6461,0.017,-0.017
0.6499999999999999,0.6,0.7,0.9265,0.0207,-0.0207
0.75,0.7,0.8,1.977,0.035,-0.035
0.8500000000000001,0.8,0.9,5.921,0.098,-0.098
0.9199999999999999,0.9,0.94,14.17,0.522,-0.522

