#: table_doi: 10.17182/hepdata.52667.v1/t70
#: name: Table 70
#: description: Differential cross section for the W range 2.42 to 2.43 GeV.

#: data_file: Table70.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.42-2.43
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.425 (BIN=2.42 TO 2.43)
#: SQRT(S) [GeV],,,2.42-2.43
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.4741,0.0502,-0.0502
-0.75,-0.8,-0.7,0.5552,0.014,-0.014
-0.6499999999999999,-0.7,-0.6,0.5251,0.0131,-0.0131
-0.55,-0.6,-0.5,0.4033,0.0112,-0.0112
-0.45,-0.5,-0.4,0.3128,0.0099,-0.0099
-0.35,-0.4,-0.3,0.2873,0.009,-0.009
-0.25,-0.3,-0.2,0.3191,0.0097,-0.0097
-0.15000000000000002,-0.2,-0.1,0.378,0.0106,-0.0106
-0.05,-0.1,0.0,0.4196,0.0113,-0.0113
0.05,0.0,0.1,0.4253,0.0117,-0.0117
0.15000000000000002,0.1,0.2,0.3943,0.0109,-0.0109
0.25,0.2,0.3,0.4389,0.0117,-0.0117
0.35,0.3,0.4,0.5282,0.0136,-0.0136
0.45,0.4,0.5,0.7623,0.0171,-0.0171
0.55,0.5,0.6,1.042,0.021,-0.021
0.6499999999999999,0.6,0.7,1.657,0.027,-0.027
0.75,0.7,0.8,2.926,0.039,-0.039
0.8500000000000001,0.8,0.9,7.142,0.087,-0.087
0.9199999999999999,0.9,0.94,37.88,4.481,-4.481

