#: table_doi: 10.17182/hepdata.52667.v1/t3
#: name: Table 3
#: description: Differential cross section for the W range 1.74 to 1.75 GeV.

#: data_file: Table3.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.74-1.75
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.745 (BIN=1.74 TO 1.75)
#: SQRT(S) [GeV],,,1.74-1.75
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.45,-0.5,-0.4,2.438,0.127,-0.127
-0.35,-0.4,-0.3,2.411,0.124,-0.124
-0.25,-0.3,-0.2,2.562,0.131,-0.131
-0.15000000000000002,-0.2,-0.1,2.531,0.129,-0.129
-0.05,-0.1,0.0,2.69,0.137,-0.137
0.05,0.0,0.1,2.778,0.142,-0.142
0.15000000000000002,0.1,0.2,2.703,0.138,-0.138
0.25,0.2,0.3,2.76,0.141,-0.141
0.35,0.3,0.4,3.002,0.153,-0.153
0.45,0.4,0.5,2.913,0.149,-0.149
0.55,0.5,0.6,3.161,0.162,-0.162
0.6499999999999999,0.6,0.7,3.248,0.167,-0.167
0.75,0.7,0.8,3.585,0.186,-0.186

