#: table_doi: 10.17182/hepdata.52667.v1/t32
#: name: Table 32
#: description: Differential cross section for the W range 2.04 to 2.05 GeV.

#: data_file: Table32.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.04-2.05
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.045 (BIN=2.04 TO 2.05)
#: SQRT(S) [GeV],,,2.04-2.05
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.369,0.057,-0.057
-0.75,-0.8,-0.7,1.462,0.04,-0.04
-0.6499999999999999,-0.7,-0.6,1.49,0.038,-0.038
-0.55,-0.6,-0.5,1.475,0.034,-0.034
-0.45,-0.5,-0.4,1.63,0.034,-0.034
-0.35,-0.4,-0.3,1.813,0.036,-0.036
-0.25,-0.3,-0.2,1.925,0.037,-0.037
-0.15000000000000002,-0.2,-0.1,1.981,0.039,-0.039
-0.05,-0.1,0.0,1.883,0.039,-0.039
0.05,0.0,0.1,1.889,0.044,-0.044
0.15000000000000002,0.1,0.2,1.717,0.044,-0.044
0.25,0.2,0.3,1.482,0.044,-0.044
0.35,0.3,0.4,1.532,0.046,-0.046
0.45,0.4,0.5,1.935,0.055,-0.055
0.55,0.5,0.6,2.717,0.062,-0.062
0.6499999999999999,0.6,0.7,3.967,0.073,-0.073
0.75,0.7,0.8,6.858,0.099,-0.099
0.8500000000000001,0.8,0.9,12.03,0.943,-0.943

