#: table_doi: 10.17182/hepdata.52667.v1/t50
#: name: Table 50
#: description: Differential cross section for the W range 2.22 to 2.23 GeV.

#: data_file: Table50.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.22-2.23
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.225 (BIN=2.22 TO 2.23)
#: SQRT(S) [GeV],,,2.22-2.23
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.073,0.035,-0.035
-0.75,-0.8,-0.7,1.124,0.024,-0.024
-0.6499999999999999,-0.7,-0.6,1.062,0.022,-0.022
-0.55,-0.6,-0.5,0.9052,0.0202,-0.0202
-0.45,-0.5,-0.4,0.8467,0.0186,-0.0186
-0.35,-0.4,-0.3,0.9027,0.0186,-0.0186
-0.25,-0.3,-0.2,1.025,0.02,-0.02
-0.15000000000000002,-0.2,-0.1,1.179,0.021,-0.021
-0.05,-0.1,0.0,1.278,0.022,-0.022
0.05,0.0,0.1,1.257,0.024,-0.024
0.15000000000000002,0.1,0.2,1.033,0.021,-0.021
0.25,0.2,0.3,0.9819,0.0213,-0.0213
0.35,0.3,0.4,1.025,0.024,-0.024
0.45,0.4,0.5,1.249,0.026,-0.026
0.55,0.5,0.6,1.867,0.032,-0.032
0.6499999999999999,0.6,0.7,3.164,0.041,-0.041
0.75,0.7,0.8,5.34,0.053,-0.053
0.8500000000000001,0.8,0.9,11.04,0.107,-0.107
0.91,0.9,0.92,57.59,7.243,-7.243

