#: table_doi: 10.17182/hepdata.52667.v1/t9
#: name: Table 9
#: description: Differential cross section for the W range 1.80 to 1.81 GeV.

#: data_file: Table9.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.8-1.81
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.805 (BIN=1.80 TO 1.81)
#: SQRT(S) [GeV],,,1.8-1.81
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.75,-0.8,-0.7,3.821,0.21,-0.21
-0.6499999999999999,-0.7,-0.6,3.946,0.075,-0.075
-0.55,-0.6,-0.5,3.832,0.071,-0.071
-0.45,-0.5,-0.4,3.896,0.069,-0.069
-0.35,-0.4,-0.3,3.812,0.065,-0.065
-0.25,-0.3,-0.2,3.699,0.062,-0.062
-0.15000000000000002,-0.2,-0.1,3.831,0.062,-0.062
-0.05,-0.1,0.0,3.844,0.062,-0.062
0.05,0.0,0.1,3.731,0.063,-0.063
0.15000000000000002,0.1,0.2,3.829,0.067,-0.067
0.25,0.2,0.3,3.884,0.073,-0.073
0.35,0.3,0.4,3.862,0.08,-0.08
0.45,0.4,0.5,4.124,0.081,-0.081
0.55,0.5,0.6,4.481,0.088,-0.088
0.6499999999999999,0.6,0.7,4.82,0.097,-0.097
0.75,0.7,0.8,5.815,0.112,-0.112

