#: table_doi: 10.17182/hepdata.52667.v1/t41
#: name: Table 41
#: description: Differential cross section for the W range 2.13 to 2.14 GeV.

#: data_file: Table41.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.13-2.14
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.135 (BIN=2.13 TO 2.14)
#: SQRT(S) [GeV],,,2.13-2.14
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.216,0.042,-0.042
-0.75,-0.8,-0.7,1.348,0.032,-0.032
-0.6499999999999999,-0.7,-0.6,1.192,0.027,-0.027
-0.55,-0.6,-0.5,1.222,0.028,-0.028
-0.45,-0.5,-0.4,1.237,0.026,-0.026
-0.35,-0.4,-0.3,1.377,0.027,-0.027
-0.25,-0.3,-0.2,1.556,0.029,-0.029
-0.15000000000000002,-0.2,-0.1,1.606,0.03,-0.03
-0.05,-0.1,0.0,1.609,0.031,-0.031
0.05,0.0,0.1,1.622,0.033,-0.033
0.15000000000000002,0.1,0.2,1.461,0.033,-0.033
0.25,0.2,0.3,1.208,0.03,-0.03
0.35,0.3,0.4,1.315,0.035,-0.035
0.45,0.4,0.5,1.513,0.036,-0.036
0.55,0.5,0.6,2.472,0.047,-0.047
0.6499999999999999,0.6,0.7,4.163,0.059,-0.059
0.75,0.7,0.8,7.137,0.071,-0.071
0.8500000000000001,0.8,0.9,12.28,0.131,-0.131

