#: table_doi: 10.17182/hepdata.52667.v1/t68
#: name: Table 68
#: description: Differential cross section for the W range 2.40 to 2.41 GeV.

#: data_file: Table68.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.4-2.41
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.405 (BIN=2.40 TO 2.41)
#: SQRT(S) [GeV],,,2.4-2.41
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.6022,0.0544,-0.0544
-0.75,-0.8,-0.7,0.5803,0.0156,-0.0156
-0.6499999999999999,-0.7,-0.6,0.4807,0.0129,-0.0129
-0.55,-0.6,-0.5,0.4004,0.0118,-0.0118
-0.45,-0.5,-0.4,0.3378,0.0111,-0.0111
-0.35,-0.4,-0.3,0.3049,0.0096,-0.0096
-0.25,-0.3,-0.2,0.3652,0.011,-0.011
-0.15000000000000002,-0.2,-0.1,0.4177,0.012,-0.012
-0.05,-0.1,0.0,0.4672,0.0128,-0.0128
0.05,0.0,0.1,0.4947,0.0132,-0.0132
0.15000000000000002,0.1,0.2,0.4403,0.0122,-0.0122
0.25,0.2,0.3,0.4817,0.013,-0.013
0.35,0.3,0.4,0.5783,0.0151,-0.0151
0.45,0.4,0.5,0.7648,0.0179,-0.0179
0.55,0.5,0.6,1.069,0.023,-0.023
0.6499999999999999,0.6,0.7,1.652,0.028,-0.028
0.75,0.7,0.8,3.015,0.041,-0.041
0.8500000000000001,0.8,0.9,7.058,0.091,-0.091
0.9199999999999999,0.9,0.94,23.97,3.931,-3.931

