#: table_doi: 10.17182/hepdata.52667.v1/t74
#: name: Table 74
#: description: Differential cross section for the W range 2.46 to 2.47 GeV.

#: data_file: Table74.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.46-2.47
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.465 (BIN=2.46 TO 2.47)
#: SQRT(S) [GeV],,,2.46-2.47
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.4573,0.0208,-0.0208
-0.75,-0.8,-0.7,0.5206,0.0145,-0.0145
-0.6499999999999999,-0.7,-0.6,0.4601,0.0127,-0.0127
-0.55,-0.6,-0.5,0.3487,0.0104,-0.0104
-0.45,-0.5,-0.4,0.2624,0.0093,-0.0093
-0.35,-0.4,-0.3,0.2435,0.0086,-0.0086
-0.25,-0.3,-0.2,0.2578,0.0089,-0.0089
-0.15000000000000002,-0.2,-0.1,0.304,0.0099,-0.0099
-0.05,-0.1,0.0,0.3315,0.0104,-0.0104
0.05,0.0,0.1,0.3375,0.0106,-0.0106
0.15000000000000002,0.1,0.2,0.3536,0.0106,-0.0106
0.25,0.2,0.3,0.3775,0.011,-0.011
0.35,0.3,0.4,0.4919,0.0132,-0.0132
0.45,0.4,0.5,0.7067,0.0173,-0.0173
0.55,0.5,0.6,0.9476,0.0215,-0.0215
0.6499999999999999,0.6,0.7,1.336,0.025,-0.025
0.75,0.7,0.8,2.572,0.038,-0.038
0.8500000000000001,0.8,0.9,6.37,0.088,-0.088
0.9199999999999999,0.9,0.94,14.7,0.671,-0.671

