#: table_doi: 10.17182/hepdata.52667.v1/t7
#: name: Table 7
#: description: Differential cross section for the W range 1.78 to 1.79 GeV.

#: data_file: Table7.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 1.78-1.79
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,1.785 (BIN=1.78 TO 1.79)
#: SQRT(S) [GeV],,,1.78-1.79
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.6499999999999999,-0.7,-0.6,3.67,0.193,-0.193
-0.55,-0.6,-0.5,3.853,0.056,-0.056
-0.45,-0.5,-0.4,3.953,0.06,-0.06
-0.35,-0.4,-0.3,3.749,0.056,-0.056
-0.25,-0.3,-0.2,3.854,0.059,-0.059
-0.15000000000000002,-0.2,-0.1,3.655,0.058,-0.058
-0.05,-0.1,0.0,3.732,0.059,-0.059
0.05,0.0,0.1,3.617,0.058,-0.058
0.15000000000000002,0.1,0.2,3.772,0.062,-0.062
0.25,0.2,0.3,3.765,0.065,-0.065
0.35,0.3,0.4,4.036,0.076,-0.076
0.45,0.4,0.5,4.316,0.085,-0.085
0.55,0.5,0.6,4.344,0.084,-0.084
0.6499999999999999,0.6,0.7,4.891,0.089,-0.089
0.75,0.7,0.8,5.436,0.091,-0.091

