#: table_doi: 10.17182/hepdata.52667.v1/t30
#: name: Table 30
#: description: Differential cross section for the W range 2.02 to 2.03 GeV.

#: data_file: Table30.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.02-2.03
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.025 (BIN=2.02 TO 2.03)
#: SQRT(S) [GeV],,,2.02-2.03
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.406,0.063,-0.063
-0.75,-0.8,-0.7,1.422,0.039,-0.039
-0.6499999999999999,-0.7,-0.6,1.549,0.039,-0.039
-0.55,-0.6,-0.5,1.62,0.038,-0.038
-0.45,-0.5,-0.4,1.633,0.035,-0.035
-0.35,-0.4,-0.3,1.842,0.037,-0.037
-0.25,-0.3,-0.2,1.911,0.038,-0.038
-0.15000000000000002,-0.2,-0.1,1.929,0.038,-0.038
-0.05,-0.1,0.0,1.986,0.043,-0.043
0.05,0.0,0.1,1.854,0.044,-0.044
0.15000000000000002,0.1,0.2,1.83,0.047,-0.047
0.25,0.2,0.3,1.549,0.045,-0.045
0.35,0.3,0.4,1.529,0.047,-0.047
0.45,0.4,0.5,1.925,0.056,-0.056
0.55,0.5,0.6,2.59,0.063,-0.063
0.6499999999999999,0.6,0.7,3.921,0.079,-0.079
0.75,0.7,0.8,5.969,0.1,-0.1
0.8500000000000001,0.8,0.9,17.74,3.762,-3.762

