#: table_doi: 10.17182/hepdata.52667.v1/t59
#: name: Table 59
#: description: Differential cross section for the W range 2.31 to 2.32 GeV.

#: data_file: Table59.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.31-2.32
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.315 (BIN=2.31 TO 2.32)
#: SQRT(S) [GeV],,,2.31-2.32
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.8898,0.0351,-0.0351
-0.75,-0.8,-0.7,0.9378,0.0191,-0.0191
-0.6499999999999999,-0.7,-0.6,0.7986,0.0168,-0.0168
-0.55,-0.6,-0.5,0.6141,0.0145,-0.0145
-0.45,-0.5,-0.4,0.5295,0.0134,-0.0134
-0.35,-0.4,-0.3,0.5488,0.0133,-0.0133
-0.25,-0.3,-0.2,0.6307,0.0142,-0.0142
-0.15000000000000002,-0.2,-0.1,0.7447,0.0155,-0.0155
-0.05,-0.1,0.0,0.7819,0.0158,-0.0158
0.05,0.0,0.1,0.8046,0.0171,-0.0171
0.15000000000000002,0.1,0.2,0.7461,0.016,-0.016
0.25,0.2,0.3,0.729,0.0166,-0.0166
0.35,0.3,0.4,0.752,0.0171,-0.0171
0.45,0.4,0.5,1.031,0.021,-0.021
0.55,0.5,0.6,1.454,0.025,-0.025
0.6499999999999999,0.6,0.7,2.115,0.03,-0.03
0.75,0.7,0.8,4.043,0.044,-0.044
0.8500000000000001,0.8,0.9,9.343,0.097,-0.097
0.91,0.9,0.92,16.83,0.595,-0.595

