#: table_doi: 10.17182/hepdata.52667.v1/t34
#: name: Table 34
#: description: Differential cross section for the W range 2.06 to 2.07 GeV.

#: data_file: Table34.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.06-2.07
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.065 (BIN=2.06 TO 2.07)
#: SQRT(S) [GeV],,,2.06-2.07
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,1.331,0.055,-0.055
-0.75,-0.8,-0.7,1.321,0.035,-0.035
-0.6499999999999999,-0.7,-0.6,1.34,0.033,-0.033
-0.55,-0.6,-0.5,1.505,0.036,-0.036
-0.45,-0.5,-0.4,1.546,0.032,-0.032
-0.35,-0.4,-0.3,1.67,0.032,-0.032
-0.25,-0.3,-0.2,1.949,0.038,-0.038
-0.15000000000000002,-0.2,-0.1,1.939,0.038,-0.038
-0.05,-0.1,0.0,1.809,0.036,-0.036
0.05,0.0,0.1,1.837,0.041,-0.041
0.15000000000000002,0.1,0.2,1.647,0.041,-0.041
0.25,0.2,0.3,1.451,0.04,-0.04
0.35,0.3,0.4,1.563,0.046,-0.046
0.45,0.4,0.5,1.93,0.052,-0.052
0.55,0.5,0.6,2.543,0.056,-0.056
0.6499999999999999,0.6,0.7,4.404,0.076,-0.076
0.75,0.7,0.8,7.396,0.096,-0.096
0.8500000000000001,0.8,0.9,12.46,0.654,-0.654

