#: table_doi: 10.17182/hepdata.52667.v1/t94
#: name: Table 94
#: description: Differential cross section for the W range 2.66 to 2.67 GeV.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.66-2.67
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.665 (BIN=2.66 TO 2.67)
#: SQRT(S) [GeV],,,2.66-2.67
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8300000000000001,-0.86,-0.8,0.2604,0.0203,-0.0203
-0.75,-0.8,-0.7,0.2502,0.0089,-0.0089
-0.6499999999999999,-0.7,-0.6,0.2471,0.0083,-0.0083
-0.55,-0.6,-0.5,0.1972,0.007,-0.007
-0.45,-0.5,-0.4,0.1507,0.006,-0.006
-0.35,-0.4,-0.3,0.1133,0.0054,-0.0054
-0.25,-0.3,-0.2,0.08508,0.00417,-0.00417
-0.15000000000000002,-0.2,-0.1,0.09519,0.00441,-0.00441
-0.05,-0.1,0.0,0.1073,0.0047,-0.0047
0.05,0.0,0.1,0.1136,0.005,-0.005
0.15000000000000002,0.1,0.2,0.1402,0.0058,-0.0058
0.25,0.2,0.3,0.1811,0.0066,-0.0066
0.35,0.3,0.4,0.2467,0.0083,-0.0083
0.45,0.4,0.5,0.3057,0.0101,-0.0101
0.55,0.5,0.6,0.3717,0.0119,-0.0119
0.6499999999999999,0.6,0.7,0.5994,0.0164,-0.0164
0.75,0.7,0.8,1.478,0.031,-0.031
0.8500000000000001,0.8,0.9,4.324,0.09,-0.09
0.9199999999999999,0.9,0.94,10.1,0.448,-0.448

