#: table_doi: 10.17182/hepdata.52667.v1/t105
#: name: Table 105
#: description: Differential cross section for the W range 2.79 to 2.80 GeV.

#: data_file: Table105.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.79-2.8
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.795 (BIN=2.79 TO 2.80)
#: SQRT(S) [GeV],,,2.79-2.8
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8200000000000001,-0.84,-0.8,0.2402,0.0195,-0.0195
-0.75,-0.8,-0.7,0.1562,0.0075,-0.0075
-0.6499999999999999,-0.7,-0.6,0.1526,0.0068,-0.0068
-0.55,-0.6,-0.5,0.1153,0.0056,-0.0056
-0.45,-0.5,-0.4,0.08484,0.00465,-0.00465
-0.35,-0.4,-0.3,0.06146,0.00389,-0.00389
-0.25,-0.3,-0.2,0.05018,0.00325,-0.00325
-0.15000000000000002,-0.2,-0.1,0.0497,0.00313,-0.00313
-0.05,-0.1,0.0,0.05115,0.00313,-0.00313
0.05,0.0,0.1,0.05617,0.00329,-0.00329
0.15000000000000002,0.1,0.2,0.07701,0.00428,-0.00428
0.25,0.2,0.3,0.1072,0.0052,-0.0052
0.35,0.3,0.4,0.1448,0.0064,-0.0064
0.45,0.4,0.5,0.1743,0.0079,-0.0079
0.55,0.5,0.6,0.2365,0.0105,-0.0105
0.6499999999999999,0.6,0.7,0.4449,0.0164,-0.0164
0.75,0.7,0.8,1.059,0.031,-0.031
0.8500000000000001,0.8,0.9,3.879,0.121,-0.121
0.9299999999999999,0.9,0.96,17.58,2.632,-2.632

