#: name: Table 145
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from 0.45 to 0.55.

#: data_file: Table145.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.095,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,0.5 (0.45-0.55)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.728,1.71,1.74,1.123,1.095,1.15,0.05442,0.22041,-0.22041,0.03,-0.03
1.757,1.74,1.77,1.177,1.149,1.205,0.31928,0.14259,-0.14259,0.03,-0.03
1.786,1.77,1.8,1.231,1.203,1.26,0.06196,0.11862,-0.11862,0.03,-0.03
1.815,1.8,1.83,1.287,1.258,1.316,0.1911,0.08329,-0.08329,0.03,-0.03
1.8450000000000002,1.83,1.86,1.346,1.316,1.375,0.40315,0.05729,-0.05729,0.03,-0.03
1.875,1.86,1.89,1.405,1.375,1.435,0.50982,0.05037,-0.05037,0.03,-0.03
1.9049999999999998,1.89,1.92,1.465,1.435,1.496,0.58365,0.0443,-0.0443,0.03,-0.03
1.935,1.92,1.95,1.5270000000000001,1.496,1.558,0.66364,0.0466,-0.0466,0.03,-0.03
1.9649999999999999,1.95,1.98,1.589,1.558,1.621,0.7965,0.0331,-0.0331,0.03,-0.03
1.9949999999999999,1.98,2.01,1.653,1.621,1.685,0.82928,0.03113,-0.03113,0.03,-0.03
2.025,2.01,2.04,1.717,1.685,1.749,0.9095,0.03065,-0.03065,0.03,-0.03
2.0549999999999997,2.04,2.07,1.782,1.749,1.815,0.95572,0.03013,-0.03013,0.03,-0.03
2.085,2.07,2.1,1.848,1.815,1.882,0.92987,0.02964,-0.02964,0.03,-0.03
2.115,2.1,2.13,1.915,1.882,1.949,0.92553,0.03011,-0.03011,0.03,-0.03
2.145,2.13,2.16,1.984,1.949,2.018,0.94763,0.03043,-0.03043,0.03,-0.03
2.175,2.16,2.19,2.053,2.018,2.088,0.91286,0.03152,-0.03152,0.03,-0.03
2.205,2.19,2.22,2.123,2.088,2.158,0.80188,0.03617,-0.03617,0.03,-0.03
2.2350000000000003,2.22,2.25,2.194,2.158,2.23,0.76185,0.03611,-0.03611,0.03,-0.03
2.2649999999999997,2.25,2.28,2.266,2.23,2.302,0.80941,0.0354,-0.0354,0.03,-0.03
2.295,2.28,2.31,2.339,2.302,2.375,0.62355,0.03752,-0.03752,0.03,-0.03
2.325,2.31,2.34,2.412,2.375,2.45,0.68457,0.03881,-0.03881,0.03,-0.03
2.355,2.34,2.37,2.487,2.45,2.525,0.64799,0.03937,-0.03937,0.03,-0.03
2.385,2.37,2.4,2.5629999999999997,2.525,2.601,0.64782,0.04353,-0.04353,0.03,-0.03
2.415,2.4,2.43,2.6399999999999997,2.601,2.679,0.39926,0.04989,-0.04989,0.03,-0.03
2.4450000000000003,2.43,2.46,2.718,2.679,2.757,0.38523,0.05076,-0.05076,0.03,-0.03
2.475,2.46,2.49,2.796,2.757,2.836,0.44902,0.05633,-0.05633,0.03,-0.03
2.505,2.49,2.52,2.876,2.836,2.916,0.34895,0.05825,-0.05825,0.03,-0.03
2.535,2.52,2.55,2.956,2.916,2.997,0.34282,0.06532,-0.06532,0.03,-0.03
2.565,2.55,2.58,3.0380000000000003,2.997,3.079,0.59707,0.06912,-0.06912,0.03,-0.03
2.5949999999999998,2.58,2.61,3.121,3.079,3.162,0.45151,0.07441,-0.07441,0.03,-0.03
2.625,2.61,2.64,3.2039999999999997,3.162,3.246,0.52074,0.07189,-0.07189,0.03,-0.03
2.6550000000000002,2.64,2.67,3.288,3.246,3.331,0.57499,0.09061,-0.09061,0.03,-0.03
2.685,2.67,2.7,3.3739999999999997,3.331,3.417,0.71017,0.10123,-0.10123,0.03,-0.03
2.715,2.7,2.73,3.46,3.417,3.504,0.72354,0.10424,-0.10424,0.03,-0.03
2.745,2.73,2.76,3.548,3.504,3.592,0.80068,0.11649,-0.11649,0.03,-0.03
2.775,2.76,2.79,3.636,3.592,3.68,0.79187,0.12134,-0.12134,0.03,-0.03
2.8049999999999997,2.79,2.82,3.725,3.68,3.77,0.43006,0.15062,-0.15062,0.03,-0.03
2.83,2.82,2.84,3.8,3.77,3.83,0.43714,0.18983,-0.18983,0.03,-0.03

