#: name: Table 133
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.75 to -0.65.

#: data_file: Table133.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.210,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.7 (-0.75--0.65)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.815,1.77,1.85,1.287,1.21,1.365,0.25422,0.12371,-0.12371,0.03,-0.03
1.88,1.84,1.92,1.415,1.336,1.496,0.07493,0.08006,-0.08006,0.03,-0.03
1.96,1.92,2.0,1.579,1.496,1.663,-0.20109,0.09057,-0.09057,0.03,-0.03
2.038,2.0,2.08,1.745,1.659,1.833,-0.3107,0.11009,-0.11009,0.03,-0.03
2.119,2.08,2.16,1.924,1.835,2.016,-0.45206,0.12241,-0.12241,0.03,-0.03
2.199,2.16,2.24,2.109,2.016,2.203,-0.30789,0.12732,-0.12732,0.03,-0.03
2.2800000000000002,2.24,2.32,2.302,2.206,2.4,-0.22076,0.12282,-0.12282,0.03,-0.03
2.358,2.32,2.4,2.495,2.395,2.596,-0.27204,0.13698,-0.13698,0.03,-0.03
2.439,2.4,2.48,2.702,2.599,2.807,-0.11214,0.16045,-0.16045,0.03,-0.03
2.517,2.48,2.56,2.908,2.802,3.016,-0.32357,0.18778,-0.18778,0.03,-0.03
2.6,2.56,2.64,3.134,3.024,3.246,0.14793,0.21799,-0.21799,0.03,-0.03
2.678,2.64,2.72,3.354,3.241,3.469,0.21441,0.27501,-0.27501,0.03,-0.03
2.759,2.72,2.8,3.589,3.472,3.707,0.3424,0.33981,-0.33981,0.03,-0.03

