#: name: Table 138
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.25 to -0.15.

#: data_file: Table138.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.152,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.2 (-0.25--0.15)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.774,1.74,1.8,1.209,1.152,1.266,0.10451,0.14538,-0.14538,0.03,-0.03
1.83,1.8,1.86,1.316,1.258,1.375,0.27218,0.08899,-0.08899,0.03,-0.03
1.8900000000000001,1.86,1.92,1.435,1.375,1.496,0.16245,0.05969,-0.05969,0.03,-0.03
1.95,1.92,1.98,1.558,1.496,1.621,0.06952,0.04855,-0.04855,0.03,-0.03
2.01,1.98,2.04,1.685,1.621,1.749,0.08622,0.04843,-0.04843,0.03,-0.03
2.0700000000000003,2.04,2.1,1.815,1.749,1.882,-0.00668,0.05358,-0.05358,0.03,-0.03
2.13,2.1,2.16,1.949,1.882,2.018,-0.05113,0.06502,-0.06502,0.03,-0.03
2.1900000000000004,2.16,2.22,2.088,2.018,2.158,0.15603,0.07634,-0.07634,0.03,-0.03
2.25,2.22,2.28,2.23,2.158,2.302,0.20607,0.09236,-0.09236,0.03,-0.03
2.3099999999999996,2.28,2.34,2.375,2.302,2.45,0.52376,0.10099,-0.10099,0.03,-0.03
2.37,2.34,2.4,2.525,2.45,2.601,0.51306,0.12381,-0.12381,0.03,-0.03
2.4299999999999997,2.4,2.46,2.6790000000000003,2.601,2.757,0.54273,0.14165,-0.14165,0.03,-0.03
2.49,2.46,2.52,2.836,2.757,2.916,0.5703,0.13488,-0.13488,0.03,-0.03
2.56,2.52,2.6,3.024,2.916,3.134,0.42776,0.15655,-0.15655,0.03,-0.03
2.645,2.6,2.69,3.26,3.134,3.388,0.34953,0.17943,-0.17943,0.03,-0.03
2.75,2.69,2.81,3.562,3.388,3.74,0.4306,0.16185,-0.16185,0.03,-0.03
2.825,2.81,2.84,3.785,3.74,3.83,0.20674,0.34124,-0.34124,0.03,-0.03

