#: name: Table 132
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.85 to -0.75.

#: data_file: Table132.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.082,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.8 (-0.85--0.75)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.751,1.71,1.8,1.165,1.082,1.25,0.10399,0.39469,-0.39469,0.03,-0.03
1.843,1.79,1.89,1.342,1.245,1.441,0.21949,0.10024,-0.10024,0.03,-0.03
1.929,1.88,1.98,1.514,1.413,1.619,-0.11738,0.08463,-0.08463,0.03,-0.03
2.026,1.98,2.08,1.719,1.612,1.828,-0.09681,0.09922,-0.09922,0.03,-0.03
2.128,2.08,2.18,1.945,1.833,2.06,-0.30054,0.12234,-0.12234,0.03,-0.03
2.23,2.18,2.28,2.182,2.064,2.302,-0.19246,0.13328,-0.13328,0.03,-0.03
2.327,2.28,2.38,2.417,2.295,2.543,-0.3231,0.14766,-0.14766,0.03,-0.03
2.429,2.38,2.48,2.676,2.548,2.807,-0.28885,0.17901,-0.17901,0.03,-0.03
2.527,2.48,2.58,2.935,2.802,3.071,-0.16818,0.20599,-0.20599,0.03,-0.03
2.626,2.58,2.68,3.207,3.068,3.348,-0.14333,0.2292,-0.2292,0.03,-0.03
2.728,2.68,2.78,3.498,3.354,3.645,0.22061,0.27016,-0.27016,0.03,-0.03
2.804,2.78,2.83,3.722,3.648,3.797,0.39276,0.44671,-0.44671,0.03,-0.03

