#: name: Table 136
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.45 to -0.35.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.128,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.4 (-0.45--0.35)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.771,1.73,1.81,1.203,1.128,1.279,-0.25706,0.14598,-0.14598,0.03,-0.03
1.8399999999999999,1.8,1.88,1.336,1.258,1.415,0.19447,0.10528,-0.10528,0.03,-0.03
1.92,1.88,1.96,1.496,1.415,1.579,-0.17046,0.08156,-0.08156,0.03,-0.03
2.0,1.96,2.04,1.663,1.579,1.749,-0.10932,0.06978,-0.06978,0.03,-0.03
2.08,2.04,2.12,1.837,1.749,1.927,-0.35443,0.08449,-0.08449,0.03,-0.03
2.16,2.12,2.2,2.018,1.927,2.111,-0.39004,0.09606,-0.09606,0.03,-0.03
2.24,2.2,2.28,2.206,2.111,2.302,-0.25059,0.10688,-0.10688,0.03,-0.03
2.32,2.28,2.36,2.4,2.302,2.5,-0.09696,0.11212,-0.11212,0.03,-0.03
2.4,2.36,2.44,2.601,2.5,2.705,0.29016,0.11769,-0.11769,0.03,-0.03
2.48,2.44,2.52,2.809,2.705,2.916,0.37398,0.14684,-0.14684,0.03,-0.03
2.56,2.52,2.6,3.024,2.916,3.134,0.23341,0.15938,-0.15938,0.03,-0.03
2.66,2.6,2.72,3.303,3.134,3.475,0.54553,0.12985,-0.12985,0.03,-0.03
2.7800000000000002,2.72,2.84,3.651,3.475,3.83,0.37832,0.25202,-0.25202,0.03,-0.03

