#: name: Table 134
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.65 to -0.55.

#: data_file: Table134.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.082,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.6 (-0.65--0.55)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.751,1.71,1.8,1.165,1.082,1.25,0.20581,0.23126,-0.23126,0.03,-0.03
1.842,1.79,1.89,1.34,1.243,1.439,0.01914,0.07628,-0.07628,0.03,-0.03
1.927,1.88,1.98,1.51,1.409,1.614,-0.07246,0.07382,-0.07382,0.03,-0.03
2.025,1.97,2.07,1.717,1.61,1.826,-0.48623,0.09462,-0.09462,0.03,-0.03
2.129,2.08,2.18,1.947,1.835,2.062,-0.59712,0.11692,-0.11692,0.03,-0.03
2.231,2.18,2.28,2.184,2.067,2.304,-0.34882,0.11825,-0.11825,0.03,-0.03
2.328,2.28,2.38,2.42,2.297,2.545,-0.20359,0.11934,-0.11934,0.03,-0.03
2.428,2.38,2.48,2.673,2.545,2.804,0.15565,0.14466,-0.14466,0.03,-0.03
2.526,2.48,2.58,2.932,2.799,3.068,-0.1832,0.17962,-0.17962,0.03,-0.03
2.625,2.58,2.67,3.204,3.065,3.345,-0.01752,0.22475,-0.22475,0.03,-0.03
2.725,2.68,2.77,3.489,3.345,3.636,-0.46561,0.3123,-0.3123,0.03,-0.03
2.804,2.78,2.83,3.722,3.648,3.797,0.335,0.50533,-0.50533,0.03,-0.03

