#: name: Table 141
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from 0.05 to 0.15.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.112,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,0.1 (0.05-0.15)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.742,1.72,1.76,1.149,1.112,1.186,0.53926,0.28922,-0.28922,0.03,-0.03
1.783,1.76,1.8,1.226,1.188,1.264,0.19838,0.17005,-0.17005,0.03,-0.03
1.82,1.8,1.84,1.2970000000000002,1.258,1.336,0.12013,0.10435,-0.10435,0.03,-0.03
1.8599999999999999,1.84,1.88,1.375,1.336,1.415,0.27073,0.06882,-0.06882,0.03,-0.03
1.9,1.88,1.92,1.455,1.415,1.496,0.27261,0.06236,-0.06236,0.03,-0.03
1.94,1.92,1.96,1.537,1.496,1.579,0.31662,0.05345,-0.05345,0.03,-0.03
1.98,1.96,2.0,1.621,1.579,1.663,0.33285,0.04,-0.04,0.03,-0.03
2.02,2.0,2.04,1.706,1.663,1.749,0.38982,0.03837,-0.03837,0.03,-0.03
2.06,2.04,2.08,1.7930000000000001,1.749,1.837,0.4973,0.04033,-0.04033,0.03,-0.03
2.1,2.08,2.12,1.8820000000000001,1.837,1.927,0.44519,0.04089,-0.04089,0.03,-0.03
2.14,2.12,2.16,1.972,1.927,2.018,0.71335,0.04072,-0.04072,0.03,-0.03
2.18,2.16,2.2,2.064,2.018,2.111,0.6718,0.04736,-0.04736,0.03,-0.03
2.22,2.2,2.24,2.158,2.111,2.206,0.69614,0.05097,-0.05097,0.03,-0.03
2.26,2.24,2.28,2.254,2.206,2.302,0.77098,0.05627,-0.05627,0.03,-0.03
2.3,2.28,2.32,2.351,2.302,2.4,0.72029,0.06064,-0.06064,0.03,-0.03
2.34,2.32,2.36,2.45,2.4,2.5,0.68116,0.07722,-0.07722,0.03,-0.03
2.38,2.36,2.4,2.55,2.5,2.601,0.76189,0.09193,-0.09193,0.03,-0.03
2.42,2.4,2.44,2.653,2.601,2.705,0.669,0.09768,-0.09768,0.03,-0.03
2.46,2.44,2.48,2.757,2.705,2.809,0.47758,0.11994,-0.11994,0.03,-0.03
2.5,2.48,2.52,2.863,2.809,2.916,0.21621,0.12566,-0.12566,0.03,-0.03
2.54,2.52,2.56,2.9699999999999998,2.916,3.024,0.20949,0.1749,-0.1749,0.03,-0.03
2.585,2.56,2.61,3.093,3.024,3.162,0.49385,0.13329,-0.13329,0.03,-0.03
2.63,2.61,2.65,3.218,3.162,3.274,0.27654,0.15984,-0.15984,0.03,-0.03
2.6799999999999997,2.65,2.71,3.3600000000000003,3.274,3.446,0.06318,0.1499,-0.1499,0.03,-0.03
2.75,2.71,2.79,3.562,3.446,3.68,0.55475,0.15968,-0.15968,0.03,-0.03
2.815,2.79,2.84,3.755,3.68,3.83,-0.05727,0.21912,-0.21912,0.03,-0.03

