#: name: Table 135
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.55 to -0.45.

#: data_file: Table135.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.125,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.5 (-0.55--0.45)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.769,1.73,1.81,1.199,1.125,1.275,-0.21914,0.16423,-0.16423,0.03,-0.03
1.845,1.8,1.89,1.346,1.258,1.435,0.08426,0.14833,-0.14833,0.03,-0.03
1.93,1.89,1.97,1.517,1.435,1.6,-0.19941,0.12129,-0.12129,0.03,-0.03
2.01,1.97,2.05,1.685,1.6,1.771,-0.05094,0.11949,-0.11949,0.03,-0.03
2.09,2.05,2.13,1.859,1.771,1.949,-0.43515,0.12793,-0.12793,0.03,-0.03
2.17,2.13,2.21,2.041,1.949,2.134,-0.44095,0.12411,-0.12411,0.03,-0.03
2.25,2.21,2.29,2.23,2.134,2.326,-0.20463,0.11952,-0.11952,0.03,-0.03
2.33,2.29,2.37,2.425,2.326,2.525,-0.4712,0.12458,-0.12458,0.03,-0.03
2.41,2.37,2.45,2.627,2.525,2.731,0.12716,0.14572,-0.14572,0.03,-0.03
2.49,2.45,2.53,2.836,2.731,2.943,0.30469,0.16812,-0.16812,0.03,-0.03
2.575,2.53,2.62,3.065,2.943,3.19,0.05897,0.17469,-0.17469,0.03,-0.03
2.73,2.62,2.84,3.504,3.19,3.83,0.15648,0.2104,-0.2104,0.03,-0.03

