2.435,2.43,2.44,2.692,2.679,2.705,0.053,0.00512,0.00554
2.445,2.44,2.45,2.718,2.705,2.731,0.0511,0.00482,0.00535
2.455,2.45,2.46,2.744,2.731,2.757,0.04471,0.00467,0.0047
2.465,2.46,2.47,2.77,2.757,2.783,0.03843,0.00468,0.00403
2.475,2.47,2.48,2.796,2.783,2.809,0.04858,0.00503,0.00512
2.485,2.48,2.49,2.823,2.809,2.836,0.04003,0.00446,0.00422
2.495,2.49,2.5,2.849,2.836,2.863,0.03988,0.00433,0.0042
2.505,2.5,2.51,2.876,2.863,2.889,0.03793,0.00417,0.004
2.515,2.51,2.52,2.903,2.889,2.916,0.03529,0.00435,0.00373
2.525,2.52,2.53,2.93,2.916,2.943,0.03664,0.00459,0.00388
2.535,2.53,2.54,2.956,2.943,2.97,0.03177,0.00398,0.00336
2.545,2.54,2.55,2.984,2.97,2.997,0.03983,0.00447,0.00423
2.555,2.55,2.56,3.011,2.997,3.024,0.03275,0.004,0.00347
2.565,2.56,2.57,3.038,3.024,3.052,0.03216,0.0039,0.00342
2.575,2.57,2.58,3.065,3.052,3.079,0.03097,0.00407,0.0033
2.585,2.58,2.59,3.093,3.079,3.107,0.01842,0.00315,0.00196
2.595,2.59,2.6,3.121,3.107,3.134,0.02764,0.00399,0.00295
2.605,2.6,2.61,3.148,3.134,3.162,0.02219,0.00291,0.00238
2.615,2.61,2.62,3.176,3.162,3.19,0.02537,0.00291,0.00271
2.625,2.62,2.63,3.204,3.19,3.218,0.02729,0.00361,0.00293
2.635,2.63,2.64,3.232,3.218,3.246,0.02597,0.0039,0.00279
2.645,2.64,2.65,3.26,3.246,3.274,0.03095,0.00402,0.00333
2.655,2.65,2.66,3.288,3.274,3.303,0.01835,0.00296,0.00197
2.665,2.66,2.67,3.317,3.303,3.331,0.01985,0.00311,0.00214
2.675,2.67,2.68,3.345,3.331,3.36,0.01843,0.00283,0.00198
2.685,2.68,2.69,3.374,3.36,3.388,0.01886,0.0033,0.00204
2.695,2.69,2.7,3.403,3.388,3.417,0.0242,0.00352,0.00262
2.705,2.7,2.71,3.431,3.417,3.446,0.02367,0.00307,0.00255
2.715,2.71,2.72,3.46,3.446,3.475,0.01913,0.00292,0.00207
2.725,2.72,2.73,3.489,3.475,3.504,0.01761,0.00283,0.00191
2.755,2.75,2.76,3.577,3.562,3.592,0.01439,0.00246,0.00156
2.765,2.76,2.77,3.606,3.592,3.621,0.01601,0.00285,0.00174
2.775,2.77,2.78,3.636,3.621,3.651,0.01532,0.00255,0.00167
2.785,2.78,2.79,3.665,3.651,3.68,0.01221,0.00221,0.00133
2.795,2.79,2.8,3.695,3.68,3.71,0.01376,0.00236,0.0015
2.805,2.8,2.81,3.725,3.71,3.74,0.01334,0.00229,0.00146
2.815,2.81,2.82,3.755,3.74,3.77,0.01435,0.00257,0.00157
2.825,2.82,2.83,3.785,3.77,3.8,0.01214,0.00234,0.00133
2.835,2.83,2.84,3.815,3.8,3.83,0.009422,0.001967,0.001032
