#: name: Table 149
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from 0.85 to 0.95.

#: data_file: Table149.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.186,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,0.9 (0.85-0.95)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.782,1.76,1.8,1.224,1.186,1.262,0.15765,0.23999,-0.23999,0.03,-0.03
1.845,1.8,1.89,1.346,1.258,1.435,0.33822,0.13726,-0.13726,0.03,-0.03
1.915,1.89,1.94,1.486,1.435,1.537,0.58831,0.12464,-0.12464,0.03,-0.03
1.96,1.94,1.98,1.579,1.537,1.621,0.76647,0.08158,-0.08158,0.03,-0.03
2.0,1.98,2.02,1.663,1.621,1.706,0.80573,0.07512,-0.07512,0.03,-0.03
2.04,2.02,2.06,1.749,1.706,1.793,0.91641,0.0642,-0.0642,0.03,-0.03
2.08,2.06,2.1,1.837,1.793,1.882,0.88093,0.05944,-0.05944,0.03,-0.03
2.12,2.1,2.14,1.927,1.882,1.972,0.86139,0.06582,-0.06582,0.03,-0.03
2.16,2.14,2.18,2.018,1.972,2.064,0.74711,0.07367,-0.07367,0.03,-0.03
2.2,2.18,2.22,2.1109999999999998,2.064,2.158,0.69607,0.07008,-0.07008,0.03,-0.03
2.24,2.22,2.26,2.206,2.158,2.254,0.56146,0.07536,-0.07536,0.03,-0.03
2.28,2.26,2.3,2.302,2.254,2.351,0.72122,0.06534,-0.06534,0.03,-0.03
2.32,2.3,2.34,2.4,2.351,2.45,0.68863,0.06544,-0.06544,0.03,-0.03
2.36,2.34,2.38,2.5,2.45,2.55,0.63117,0.07062,-0.07062,0.03,-0.03
2.4,2.38,2.42,2.601,2.55,2.653,0.77221,0.07474,-0.07474,0.03,-0.03
2.44,2.42,2.46,2.705,2.653,2.757,0.80417,0.07013,-0.07013,0.03,-0.03
2.48,2.46,2.5,2.809,2.757,2.863,0.71126,0.0732,-0.0732,0.03,-0.03
2.52,2.5,2.54,2.916,2.863,2.97,0.7343,0.06886,-0.06886,0.03,-0.03
2.56,2.54,2.58,3.024,2.97,3.079,0.75071,0.08334,-0.08334,0.03,-0.03
2.6,2.58,2.62,3.134,3.079,3.19,0.6666,0.07104,-0.07104,0.03,-0.03
2.64,2.62,2.66,3.246,3.19,3.303,0.42157,0.08578,-0.08578,0.03,-0.03
2.68,2.66,2.7,3.36,3.303,3.417,0.48453,0.09841,-0.09841,0.03,-0.03
2.72,2.7,2.74,3.4749999999999996,3.417,3.533,0.68012,0.10623,-0.10623,0.03,-0.03
2.76,2.74,2.78,3.5919999999999996,3.533,3.651,0.46669,0.1261,-0.1261,0.03,-0.03
2.8,2.78,2.82,3.71,3.651,3.77,0.43295,0.12925,-0.12925,0.03,-0.03
2.83,2.82,2.84,3.8,3.77,3.83,0.42426,0.17342,-0.17342,0.03,-0.03

