#: name: Table 137
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.35 to -0.25.

#: data_file: Table137.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.141,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.3 (-0.35--0.25)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.773,1.74,1.81,1.2069999999999999,1.141,1.273,0.05722,0.14313,-0.14313,0.03,-0.03
1.835,1.8,1.87,1.326,1.258,1.395,0.24077,0.08616,-0.08616,0.03,-0.03
1.905,1.87,1.94,1.465,1.395,1.537,-0.03485,0.06266,-0.06266,0.03,-0.03
1.9749999999999999,1.94,2.01,1.61,1.537,1.685,0.02026,0.05057,-0.05057,0.03,-0.03
2.045,2.01,2.08,1.76,1.685,1.837,-0.10222,0.05929,-0.05929,0.03,-0.03
2.115,2.08,2.15,1.915,1.837,1.995,-0.2523,0.06509,-0.06509,0.03,-0.03
2.185,2.15,2.22,2.076,1.995,2.158,-0.07941,0.08505,-0.08505,0.03,-0.03
2.255,2.22,2.29,2.242,2.158,2.326,0.05508,0.09733,-0.09733,0.03,-0.03
2.325,2.29,2.36,2.412,2.326,2.5,0.42252,0.11391,-0.11391,0.03,-0.03
2.395,2.36,2.43,2.589,2.5,2.679,0.53545,0.12942,-0.12942,0.03,-0.03
2.465,2.43,2.5,2.77,2.679,2.863,0.45985,0.16679,-0.16679,0.03,-0.03
2.54,2.5,2.58,2.97,2.863,3.079,0.37978,0.17939,-0.17939,0.03,-0.03
2.63,2.58,2.68,3.218,3.079,3.36,0.7838,0.13419,-0.13419,0.03,-0.03
2.745,2.68,2.81,3.548,3.36,3.74,0.48004,0.1953,-0.1953,0.03,-0.03
2.825,2.81,2.84,3.785,3.74,3.83,0.4328,0.3417,-0.3417,0.03,-0.03

